image_index,tissue_type,pannuke_total_nuclei,pannuke_neoplastic_nuclei,pannuke_normal_nuclei,pannuke_inflammatory_nuclei,pannuke_connective_nuclei,pannuke_dead_nuclei,pannuke_epithelial_nuclei,cellpose_nuclei,cellpose_minus_pannuke_total,cellpose_to_pannuke_ratio,all_tp_pixels,all_fp_pixels,all_fn_pixels,all_tn_pixels,all_dice,all_iou,all_precision,all_recall,neoplastic_tp_pixels,neoplastic_fp_pixels,neoplastic_fn_pixels,neoplastic_tn_pixels,neoplastic_dice,neoplastic_iou,neoplastic_precision,neoplastic_recall,normal_tp_pixels,normal_fp_pixels,normal_fn_pixels,normal_tn_pixels,normal_dice,normal_iou,normal_precision,normal_recall,inflammatory_tp_pixels,inflammatory_fp_pixels,inflammatory_fn_pixels,inflammatory_tn_pixels,inflammatory_dice,inflammatory_iou,inflammatory_precision,inflammatory_recall,connective_tp_pixels,connective_fp_pixels,connective_fn_pixels,connective_tn_pixels,connective_dice,connective_iou,connective_precision,connective_recall,dead_tp_pixels,dead_fp_pixels,dead_fn_pixels,dead_tn_pixels,dead_dice,dead_iou,dead_precision,dead_recall,epithelial_tp_pixels,epithelial_fp_pixels,epithelial_fn_pixels,epithelial_tn_pixels,epithelial_dice,epithelial_iou,epithelial_precision,epithelial_recall,pred_neoplastic_like,pred_normal_like,pred_mixed,pred_unmatched,adapted_rand_error,adapted_rand_precision,adapted_rand_recall,vi_split,vi_merge,neoplastic_object_recall_iou_0.1,neoplastic_missed_objects_iou_0.1,normal_object_recall_iou_0.1,normal_missed_objects_iou_0.1,inflammatory_object_recall_iou_0.1,inflammatory_missed_objects_iou_0.1,connective_object_recall_iou_0.1,connective_missed_objects_iou_0.1,dead_object_recall_iou_0.1,dead_missed_objects_iou_0.1,epithelial_object_recall_iou_0.1,epithelial_missed_objects_iou_0.1,neoplastic_object_recall_iou_0.25,neoplastic_missed_objects_iou_0.25,normal_object_recall_iou_0.25,normal_missed_objects_iou_0.25,inflammatory_object_recall_iou_0.25,inflammatory_missed_objects_iou_0.25,connective_object_recall_iou_0.25,connective_missed_objects_iou_0.25,dead_object_recall_iou_0.25,dead_missed_objects_iou_0.25,epithelial_object_recall_iou_0.25,epithelial_missed_objects_iou_0.25,neoplastic_object_recall_iou_0.5,neoplastic_missed_objects_iou_0.5,normal_object_recall_iou_0.5,normal_missed_objects_iou_0.5,inflammatory_object_recall_iou_0.5,inflammatory_missed_objects_iou_0.5,connective_object_recall_iou_0.5,connective_missed_objects_iou_0.5,dead_object_recall_iou_0.5,dead_missed_objects_iou_0.5,epithelial_object_recall_iou_0.5,epithelial_missed_objects_iou_0.5,mean_preds_per_gt,mean_gts_per_pred,gt_with_multiple_preds,pred_with_multiple_gts
341,Breast,8,8,0,0,0,0,0,6,-2,0.75,4812,373,1366,58985,0.8469594297273193,0.7345443443737834,0.9280617164880848,0.7788928455798335,4812,373,1366,58985,0.8469594297273193,0.7345443443737834,0.9280617164880848,0.7788928455798335,0,5185,0,60351,0.0,0.0,0.0,0.0,0,5185,0,60351,0.0,0.0,0.0,0.0,0,5185,0,60351,0.0,0.0,0.0,0.0,0,5185,0,60351,0.0,0.0,0.0,0.0,0,5185,0,60351,0.0,0.0,0.0,0.0,6,0,0,0,0.2263033892658125,0.7567517419670493,0.7914177052649324,0.10661084943462454,0.22222122113901996,0.625,3,,0,,0,,0,,0,,0,0.625,3,,0,,0,,0,,0,,0,0.5,4,,0,,0,,0,,0,,0,1.2,1.0,1,0
371,Breast,12,12,0,0,0,0,0,13,1,1.0833333333333333,15987,785,1441,47323,0.9349122807014811,0.8777796079718455,0.9531958025274545,0.9173169612113167,15987,785,1441,47323,0.9349122807014811,0.8777796079718455,0.9531958025274545,0.9173169612113167,0,16772,0,48764,0.0,0.0,0.0,0.0,0,16772,0,48764,0.0,0.0,0.0,0.0,0,16772,0,48764,0.0,0.0,0.0,0.0,0,16772,0,48764,0.0,0.0,0.0,0.0,0,16772,0,48764,0.0,0.0,0.0,0.0,13,0,0,0,0.1809903214392059,0.7456775111060081,0.9083384074089059,0.26749191701610403,0.2840697144241034,1.0,0,,0,,0,,0,,0,,0,1.0,0,,0,,0,,0,,0,,0,0.9166666666666666,1,,0,,0,,0,,0,,0,1.25,1.1538461538461537,3,1
403,Breast,21,0,21,12,9,0,0,15,-6,0.7142857142857143,5431,148,3653,56304,0.740776103116183,0.5882798960132275,0.9734719483761006,0.597864376925806,0,5579,0,59957,0.0,0.0,0.0,0.0,5431,148,3653,56304,0.740776103116183,0.5882798960132275,0.9734719483761006,0.597864376925806,3441,2138,1096,58861,0.6803084223006323,0.5155056179767558,0.6167772002139867,0.7584306810651126,1990,3589,2557,57400,0.39304760023662544,0.24459193706951254,0.35669474816211383,0.4376511985915161,0,5579,0,59957,0.0,0.0,0.0,0.0,0,5579,0,59957,0.0,0.0,0.0,0.0,0,15,0,0,0.6655122087268279,0.6914541786552899,0.2206013392689981,0.11521309534282288,0.5305345500551452,,0,0.7142857142857143,6,0.9166666666666666,1,0.4444444444444444,5,,0,,0,,0,0.7142857142857143,6,0.9166666666666666,1,0.4444444444444444,5,,0,,0,,0,0.7142857142857143,6,0.9166666666666666,1,0.4444444444444444,5,,0,,0,1.0,1.0,0,0
424,Breast,24,24,0,0,0,0,0,24,0,1.0,11877,921,3426,49312,0.8453079961564196,0.7320636094670043,0.9280356305665509,0.7761223289545996,11877,921,3426,49312,0.8453079961564196,0.7320636094670043,0.9280356305665509,0.7761223289545996,0,12798,0,52738,0.0,0.0,0.0,0.0,0,12798,0,52738,0.0,0.0,0.0,0.0,0,12798,0,52738,0.0,0.0,0.0,0.0,0,12798,0,52738,0.0,0.0,0.0,0.0,0,12798,0,52738,0.0,0.0,0.0,0.0,23,0,0,1,0.4649846568073218,0.7334537696056319,0.4210884284019635,0.2826297539403433,0.5335971029575984,0.9583333333333334,1,,0,,0,,0,,0,,0,0.9583333333333334,1,,0,,0,,0,,0,,0,0.875,3,,0,,0,,0,,0,,0,1.0,1.0,0,0
429,Breast,25,16,9,0,9,0,0,25,0,1.0,9504,2268,4430,49334,0.7394382634401543,0.5865942476233881,0.8073394495405986,0.682072628103429,6859,4913,3640,50124,0.6159579722506326,0.44504282377339405,0.5826537546716083,0.6533003143150268,2645,9127,790,52974,0.3478661142892432,0.21055564400556395,0.22468569486899023,0.7700145560385153,0,11772,0,53764,0.0,0.0,0.0,0.0,2645,9127,790,52974,0.3478661142892432,0.21055564400556395,0.22468569486899023,0.7700145560385153,0,11772,0,53764,0.0,0.0,0.0,0.0,0,11772,0,53764,0.0,0.0,0.0,0.0,14,8,0,3,0.48315805389332234,0.7610191265943986,0.39129332613168893,0.4487998534788239,0.6268999867714615,0.875,2,0.8888888888888888,1,,0,0.8888888888888888,1,,0,,0,0.8125,3,0.7777777777777778,2,,0,0.7777777777777778,2,,0,,0,0.8125,3,0.7777777777777778,2,,0,0.7777777777777778,2,,0,,0,1.0434782608695652,1.0434782608695652,1,1
470,Breast,23,15,8,3,5,0,0,15,-8,0.6521739130434783,10533,751,4585,49667,0.7978940989315969,0.6637469279723588,0.9334455866705659,0.6967191427432883,9287,1997,2861,51391,0.7926766814609113,0.6565570873095393,0.8230237504423759,0.7644879815601214,1246,10038,1724,52528,0.17482811842277618,0.09578720787200508,0.11042183622818998,0.419528619527207,430,10854,273,53979,0.07174438975550868,0.03720688760055619,0.03810705423605272,0.6116642958661214,816,10468,1451,52801,0.12043391631605015,0.06407538280324768,0.07231478199213726,0.359947066606264,0,11284,0,54252,0.0,0.0,0.0,0.0,0,11284,0,54252,0.0,0.0,0.0,0.0,10,5,0,0,0.46080156300034913,0.8630691674604926,0.3920717021411729,0.20721435182230047,0.6654851535070426,0.6666666666666666,5,0.625,3,0.6666666666666666,1,0.6,2,,0,,0,0.6666666666666666,5,0.625,3,0.6666666666666666,1,0.6,2,,0,,0,0.6666666666666666,5,0.625,3,0.6666666666666666,1,0.6,2,,0,,0,1.0666666666666667,1.0666666666666667,1,1
497,Breast,22,20,2,1,1,0,0,18,-4,0.8181818181818182,11760,288,4047,49441,0.8443726440492391,0.7306616961784835,0.9760956175290703,0.7439741886501271,11760,288,2690,50798,0.887614159558877,0.7979373049255001,0.9760956175290703,0.8138408304492637,0,12048,1357,52131,0.0,0.0,0.0,0.0,0,12048,326,53162,0.0,0.0,0.0,0.0,0,12048,1031,52457,0.0,0.0,0.0,0.0,0,12048,0,53488,0.0,0.0,0.0,0.0,0,12048,0,53488,0.0,0.0,0.0,0.0,18,0,0,0,0.44904791589420734,0.7833813824322186,0.424887839315067,0.1801277765910344,0.5816253722863591,0.9,2,0.0,2,0.0,1,0.0,1,,0,,0,0.9,2,0.0,2,0.0,1,0.0,1,,0,,0,0.9,2,0.0,2,0.0,1,0.0,1,,0,,0,1.0,1.0,0,0
507,Breast,28,26,2,2,0,0,0,25,-3,0.8928571428571429,11244,1831,3877,48584,0.7975599375795157,0.6632845681921523,0.8599617590815603,0.743601613649399,10967,2108,3083,49378,0.8086267281103009,0.6787349919540298,0.8387762906303335,0.780569395017238,277,12798,794,51667,0.03916301427962734,0.019972600764280066,0.021185468451226624,0.2586367880461379,277,12798,794,51667,0.03916301427962734,0.019972600764280066,0.021185468451226624,0.2586367880461379,0,13075,0,52461,0.0,0.0,0.0,0.0,0,13075,0,52461,0.0,0.0,0.0,0.0,0,13075,0,52461,0.0,0.0,0.0,0.0,20,1,0,4,0.5075376405525354,0.737360370744146,0.36968096641258935,0.3873147119166797,0.5908486856389934,0.7692307692307693,6,0.5,1,0.5,1,,0,,0,,0,0.7692307692307693,6,0.5,1,0.5,1,,0,,0,,0,0.6923076923076923,8,0.5,1,0.5,1,,0,,0,,0,1.0,1.0454545454545454,0,1
516,Breast,18,16,2,1,1,0,0,14,-4,0.7777777777777778,9659,496,3063,52318,0.8444289023906786,0.7307459524884772,0.9511570654840461,0.7592359691866378,9053,1102,2634,52747,0.8289533925460906,0.7078739541788194,0.891482028556483,0.7746213741757725,606,9549,429,54952,0.10831099195700776,0.057256235827610295,0.05967503692756309,0.5855072463711546,331,9824,93,55288,0.06257680310042293,0.032298985167806105,0.03259478089607819,0.7806603773400788,275,9880,336,55045,0.05108675459776046,0.026212944428532822,0.027080256031484902,0.45008183305319016,0,10155,0,55381,0.0,0.0,0.0,0.0,0,10155,0,55381,0.0,0.0,0.0,0.0,12,2,0,0,0.37477196199314855,0.817339455564266,0.5062391422850696,0.17088000588982286,0.4650661201807978,0.75,4,1.0,0,1.0,0,1.0,0,,0,,0,0.75,4,1.0,0,1.0,0,1.0,0,,0,,0,0.75,4,0.5,1,1.0,0,0.0,1,,0,,0,1.0,1.0,0,0
588,Breast,16,7,9,0,9,0,0,11,-5,0.6875,2901,308,1190,61137,0.7947945205468565,0.659468060921438,0.9040199439049423,0.709117575163263,1371,1838,433,61894,0.5469778575692261,0.37644151564970774,0.4272358990326356,0.7599778270467851,1530,1679,757,61570,0.556768558950952,0.3857791225406309,0.4767840448723067,0.668998688234941,0,3209,0,62327,0.0,0.0,0.0,0.0,1530,1679,757,61570,0.556768558950952,0.3857791225406309,0.4767840448723067,0.668998688234941,0,3209,0,62327,0.0,0.0,0.0,0.0,0,3209,0,62327,0.0,0.0,0.0,0.0,4,7,0,0,0.4374602079127101,0.705522295323025,0.4677455755089371,0.09660390181595034,0.2153048067363468,0.5714285714285714,3,0.7777777777777778,2,,0,0.7777777777777778,2,,0,,0,0.5714285714285714,3,0.7777777777777778,2,,0,0.7777777777777778,2,,0,,0,0.5714285714285714,3,0.7777777777777778,2,,0,0.7777777777777778,2,,0,,0,1.0,1.0,0,0
597,Breast,19,19,0,0,0,0,0,13,-6,0.6842105263157895,4966,481,2257,57832,0.7838989739536039,0.6446002076834831,0.9116945107381831,0.6875259587419528,4966,481,2257,57832,0.7838989739536039,0.6446002076834831,0.9116945107381831,0.6875259587419528,0,5447,0,60089,0.0,0.0,0.0,0.0,0,5447,0,60089,0.0,0.0,0.0,0.0,0,5447,0,60089,0.0,0.0,0.0,0.0,0,5447,0,60089,0.0,0.0,0.0,0.0,0,5447,0,60089,0.0,0.0,0.0,0.0,13,0,0,0,0.5231470131068472,0.739385777528301,0.3519031662692654,0.1501414096737784,0.38048259485415487,0.6842105263157895,6,,0,,0,,0,,0,,0,0.6842105263157895,6,,0,,0,,0,,0,,0,0.631578947368421,7,,0,,0,,0,,0,,0,1.2142857142857142,1.3076923076923077,3,4
635,Breast,6,0,6,4,2,0,0,3,-3,0.5,868,63,690,63915,0.6974688629943855,0.5354719309035443,0.9323308270576549,0.5571245186100313,0,931,0,64605,0.0,0.0,0.0,0.0,868,63,690,63915,0.6974688629943855,0.5354719309035443,0.9323308270576549,0.5571245186100313,412,519,401,64204,0.4724770642174744,0.3093093093069872,0.4425349086955689,0.5067650676444432,456,475,289,64316,0.544152744626825,0.37377049180021504,0.48979591836208597,0.6120805369045358,0,931,0,64605,0.0,0.0,0.0,0.0,0,931,0,64605,0.0,0.0,0.0,0.0,0,3,0,0,0.3634902865447156,0.7350351842440077,0.5612753333281241,0.023499912419084286,0.11005010849017435,,0,0.5,3,0.5,2,0.5,1,,0,,0,,0,0.5,3,0.5,2,0.5,1,,0,,0,,0,0.5,3,0.5,2,0.5,1,,0,,0,1.0,1.0,0,0
718,Breast,16,9,7,2,5,0,0,13,-3,0.8125,9144,316,3969,52107,0.8101714437598856,0.6809144389003791,0.9665961945021494,0.6973232669864277,5261,4199,1946,54130,0.6313073738521442,0.46124846571939215,0.5561310782235136,0.7299847370601776,3883,5577,2023,54053,0.5054015358580597,0.3381520508574953,0.41046511627863586,0.6574669827283145,871,8589,245,55831,0.16471255673206814,0.08974755280773854,0.09207188160666799,0.7804659498137951,3012,6448,1778,54298,0.4227368421049665,0.26801922050163013,0.31839323467196784,0.628810020875514,0,9460,0,56076,0.0,0.0,0.0,0.0,0,9460,0,56076,0.0,0.0,0.0,0.0,7,6,0,0,0.38239509667168203,0.8370862420854723,0.4893095122304982,0.14420318666378124,0.5256635953071305,0.7777777777777778,2,0.8571428571428571,1,1.0,0,0.8,1,,0,,0,0.7777777777777778,2,0.8571428571428571,1,1.0,0,0.8,1,,0,,0,0.7777777777777778,2,0.8571428571428571,1,1.0,0,0.8,1,,0,,0,1.0,1.0,0,0
764,Colon,15,0,15,10,5,0,0,11,-4,0.7333333333333333,2461,140,1977,60958,0.6992470521370944,0.5375709916982578,0.9461745482470352,0.5545290671461142,0,2601,0,62935,0.0,0.0,0.0,0.0,2461,140,1977,60958,0.6992470521370944,0.5375709916982578,0.9461745482470352,0.5545290671461142,1960,641,689,62246,0.7466666666652445,0.595744680849253,0.7535563244876834,0.7399018497518313,501,2100,1288,61647,0.22824601366690606,0.1288248907170768,0.19261822375935173,0.28004471771783096,0,2601,0,62935,0.0,0.0,0.0,0.0,0,2601,0,62935,0.0,0.0,0.0,0.0,0,11,0,0,0.6110783235206633,0.8007282149983961,0.25683433722462773,0.05697009303552096,0.2978886359103354,,0,0.7333333333333333,4,0.9,1,0.4,3,,0,,0,,0,0.7333333333333333,4,0.9,1,0.4,3,,0,,0,,0,0.7333333333333333,4,0.9,1,0.4,3,,0,,0,1.0,1.0,0,0
